"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/sÂ²)"
0.05,0.179732,-0.00304888888889,0.0177216666667
0.1,0.1795605,-0.00238194444444,0.0207864351852
0.15,0.179389,-0.000686,0.0182298148148
0.2,0.1795605,-0.000190555555556,0.0092525308642
0.25,0.179389,9.52777777778E-05,-0.0003387654321
0.3,0.1795605,-3.08636218434E-17,-0.0152867901235
0.35,0.179389,-0.000571666666667,-0.037899382716
0.4,0.179732,-0.00504972222222,-0.0228666666667
0.45,0.1788745,-0.00762222222222,0.084850154321
0.5,0.1785315,0.000190555555556,0.225649537037
0.55,0.178017,0.0218186111111,0.211304938272
0.6,0.180761,0.0383969444444,-0.0799274691358
0.65,0.1843625,0.01029,-0.202677006173
0.7,0.182476,-0.022295,0.540966049383
0.75,0.179046,0.0197225,2.16555802469
0.8,0.1785315,0.187887777778,3.84202345679
0.85,0.192423,0.4621925,4.33153950617
0.9,0.2275805,0.689048888889,3.44122160494
0.95,0.266854,0.809670555556,2.34272175926
1,0.3095575,0.894181944444,1.74554182099
1.05,0.356377,0.967736388889,1.54127685185
1.1,0.4062835,1.04195777778,1.52460324074
1.15,0.4601345,1.12284861111,1.48665092593
1.2,0.5191305,1.19383055556,1.40100679012
1.25,0.5798415,1.25900055556,1.39730154321
1.3,0.6446685,1.32950611111,1.50194830247
1.35,0.712754,1.40153611111,1.82030311728
1.4,0.784784,1.49995805556,2.18578867284
1.45,0.8600725,1.62515305556,2.0603607716
1.5,0.940163,1.83785116667,-0.401024166667
1.55,1.067416,1.6558325,-4.10827720679
1.6,1.107547,1.23422833333,-6.66247858025
